sal_id,svc_id,org_id,org_name,service_name,location_name,category,what,eligibility,address_1,city,zip,lat,lon,phone,phone_label,phone2,phone2_label,phone2_source_url,website,availability,hours_text,flags,notice,status,checked_at_entry,entry_method,source_type,source_name,source_url,internal_note
sal_csk_meldrum_meals,,org_capuchin,Capuchin Soup Kitchen,Free hot meals,"Capuchin Soup Kitchen, Meldrum",food.meal,Free hot breakfast and lunch for anyone. No questions asked.,,1264 Meldrum St,Detroit,48207,42.348829,-83.011728,(313) 579-2100,,,,,https://www.cskdetroit.org,scheduled,,"walk_in,no_id_required",,active,2026-09-18,web,seed_list,Capuchin Soup Kitchen website,https://www.cskdetroit.org/services-offerings/meal-program/,[2026-09-19] source page could not be read (bot protection); check by eye. Site blocks automated fetch (403). Page text was read in full during seed research on 2026-09-18.
sal_csk_conner_meals,,org_capuchin,Capuchin Soup Kitchen,Free hot meals,"Capuchin Soup Kitchen, Conner",food.meal,"Free hot breakfast, lunch, and dinner for anyone.",,4390 Conner St,Detroit,48215,42.385993,-82.969552,(313) 822-8606,,,,,https://www.cskdetroit.org,scheduled,,"walk_in,no_id_required",,active,2026-09-18,web,seed_list,Capuchin Soup Kitchen website,https://www.cskdetroit.org/services-offerings/meal-program/,[2026-09-19] source page could not be read (bot protection); check by eye. Site blocks automated fetch (403). Page text was read in full during seed research on 2026-09-18.
sal_pope_francis_day_center,,org_pope_francis_center,Pope Francis Center,"Morning meals, showers, and laundry",Pope Francis Center,food.meal,"Two free meals each morning, plus showers, laundry, restrooms, and mail.",,438 Saint Antoine St,Detroit,48226,42.331843,-83.038401,313-964-2823,,,,,https://popefranciscenter.org,scheduled,,"walk_in,no_id_required",,active,2026-09-18,auto_check,seed_list,Pope Francis Center website,https://popefranciscenter.org/get-help/,Their page still sends shelter seekers to 313-305-0311 (see audit A9).
sal_crossroads_sunday_meal,,org_crossroads,Crossroads of Michigan,Sunday hot meal,Crossroads of Michigan,food.meal,Free hot meal every Sunday.,,2424 W Grand Blvd,Detroit,48208,42.361538,-83.096027,313-831-2000,Help and appointments,313-831-2787,Main office,,https://crossroadsofmichigan.org,scheduled,,walk_in,,active,2026-09-19,auto_check,seed_list,Crossroads of Michigan website,https://crossroadsofmichigan.org/clients,
sal_noah_bag_lunch,,org_noah,NOAH at Central,Bag lunch and drop-in help,NOAH at Central,food.meal,Free bag lunch and drop-in help for people without housing. Monday to Thursday. Call for times.,,23 E Adams Ave,Detroit,48226,42.337180,-83.050580,313-965-5422,,,,,https://www.noahatcentral.org,call_first,,,,active,2026-09-18,auto_check,seed_list,NOAH at Central website,https://noahatcentral.org/what-we-do/bag-lunch/,Site gives days but no clock times.
sal_csk_shoppers_choice_pantry,,org_capuchin,Capuchin Soup Kitchen,Shoppers' Choice food pantry,Capuchin Services Center,food.pantry,"Free groceries you pick out yourself, with as much fresh produce as you need. Your first visit is by appointment; after that you can come back and shop the shelves.","Your first visit is by appointment, to work out what you need.",6333 Medbury St,Detroit,48211,42.377910,-83.032285,(313) 925-1370,,,,,https://www.cskdetroit.org,scheduled,,appointment_required,,active,2026-09-20,web,seed_list,Capuchin Soup Kitchen website,https://www.cskdetroit.org/services-offerings/food-pantry/,"[2026-09-20] source page could not be read (bot protection); check by eye. [2026-09-20] Added Monday - Friday 8:30 a.m. - 4:00 p.m., which the Capuchin food-pantry page now prints for the Capuchin Services Center, and the page's own words that a first appointment is needed for a needs assessment, after which people shop the shelves and fresh produce is unlimited. cskdetroit.org still refuses scripts (403 today), so this rests on the browser read of 2026-09-20. Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.8."
sal_focus_hope_seniors_west,svc_focus_hope_food_for_seniors,org_focus_hope,Focus: HOPE,Food for Seniors,"Focus: HOPE food center, Westside",food.pantry,Free food box each month for people 60 and older with low income. No appointment needed.,Age 60 or older with low income. Bring photo ID and proof of address.,1300 Oakman Blvd,Detroit,48238,42.399830,-83.121095,313-494-4600,Food program questions,313-494-4980,Home delivery,,https://www.focushope.edu,scheduled,,"walk_in,seniors",,active,2026-09-19,auto_check,seed_list,Focus: HOPE website,https://www.focushope.edu/programs/food-for-seniors/,
sal_focus_hope_seniors_east,svc_focus_hope_food_for_seniors,org_focus_hope,Focus: HOPE,Food for Seniors,"Focus: HOPE food center, Eastside",food.pantry,Free food box each month for people 60 and older with low income. No appointment needed.,Age 60 or older with low income. Bring photo ID and proof of address.,9151 Chalmers St,Detroit,48213,42.406132,-82.965481,313-494-4600,Food program questions,313-494-4980,Home delivery,,https://www.focushope.edu,scheduled,,"walk_in,seniors",,active,2026-09-19,auto_check,seed_list,Focus: HOPE website,https://www.focushope.edu/programs/food-for-seniors/,
sal_csk_conner_showers,,org_capuchin,Capuchin Soup Kitchen,Showers and clean clothes,"Capuchin Soup Kitchen, Conner",hygiene.shower,Free shower and clean clothes.,,4390 Conner St,Detroit,48215,42.385993,-82.969552,(313) 579-2100 ext. 4217,,,,,https://www.cskdetroit.org,scheduled,,walk_in,,active,2026-09-18,auto_check,seed_list,Capuchin Soup Kitchen website,https://www.cskdetroit.org/services-offerings/shower-program/,[2026-09-20] source page could not be read (bot protection); check by eye.
sal_housing_helpline,,org_detroit_hrd,City of Detroit Housing and Revitalization Department,Detroit Housing Resource HelpLine,,shelter.emergency,Call to ask for a shelter bed or housing help.,,,,,,,866-313-2520,,,,,,always,"Housing staff answer Monday to Friday 8 AM to 6 PM and Saturday 9 AM to 12 PM. At every other time the same number reaches street outreach: 6 PM to 8 AM on weekdays, and all day at weekends and on major holidays.",,"It is always worth calling. Outside housing hours you reach a street outreach team, which does not mean a bed is free.",active,2026-09-20,web,seed_list,City of Detroit Housing and Revitalization Department website,https://detroitmi.gov/departments/housing-and-revitalization-department/homelessness,"[2026-09-20] source page could not be read (bot protection); check by eye. [2026-09-20] Added the hours the City's homelessness page gives: the line runs ""during business hours Monday-Friday from 8 AM to 6 PM and Saturday 9 AM to 12 PM"", and outside those hours the same number reaches Street Outreach, ""from 6 PM to 8 AM on the weekdays and 24/7 on the weekends and all major holidays"". The page prints 866-313-2520 twice, matching data/seed/emergency.csv, which was not touched. Availability stays ""always"" because the number is always worth calling; the notice keeps it from reading as a bed at 2am. detroitmi.gov still answers scripts with 403 today, so this rests on the browser read of 2026-09-20. Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.3."
sal_drmm_genesis_house_2,,org_drmm,Detroit Rescue Mission Ministries,Genesis House II shelter,Genesis House II,shelter.emergency,"Shelter for families, single women, and parents with children. Call first.",,12900 W Chicago,Detroit,48228,42.365999,-83.170466,313-309-5900,,,,,https://drmm.org,call_first,,,,active,2026-09-18,auto_check,seed_list,Detroit Rescue Mission Ministries website,https://drmm.org/about-us/locations/,
sal_drmm_gratiot_shelter,,org_drmm,Detroit Rescue Mission Ministries,Gratiot shelter,DRMM Gratiot Shelter,shelter.emergency,Shelter for women and children. Call first.,,15063 Gratiot Ave,Detroit,48205,42.444936,-82.971282,313-499-8605,,,,,https://drmm.org,call_first,,women,,active,2026-09-18,auto_check,seed_list,Detroit Rescue Mission Ministries website,https://drmm.org/about-us/locations/,
sal_thaw_utility_help,,org_thaw,The Heat and Warmth Fund (THAW),Utility bill help,,utilities,"Help paying heat, electric, and water bills. Call or apply online.","Income limits vary. Have ID, Social Security numbers, and proof of income for all adults.",,,,,,1-800-866-8429,,,,,https://thawfund.org,scheduled,,,,active,2026-09-18,auto_check,seed_list,The Heat and Warmth Fund (THAW) website,https://thawfund.org/,
sal_wayne_metro_connect_center,,org_wayne_metro,Wayne Metropolitan Community Action Agency,Connect Center phone line,,utilities,"One phone call to find out if you can get help with water, energy, or rent.",,,,,,,(313) 388-9799,Wayne Metro Connect Center,,,,https://www.waynemetro.org,scheduled,,,,active,2026-09-18,web,seed_list,Wayne Metropolitan Community Action Agency website,https://www.waynemetro.org/,[2026-09-19] source page could not be read (HTTP 403); check by eye. Site blocks automated fetch (403). Phone number read on waynemetro.org in two separate research passes on 2026-09-18.
sal_wayne_metro_walkin_welcome_center,svc_wayne_metro_walkin,org_wayne_metro,Wayne Metropolitan Community Action Agency,Walk-in help with applications,Wayne Metro Welcome Center,utilities,"Walk in for help applying for water, energy, or rent help.",,"7310 Woodward Ave, Suite 114",Detroit,48202,42.370491,-83.073392,(313) 388-9799,Wayne Metro Connect Center,,,,https://www.waynemetro.org,call_first,"Monday - Thursday: 8:30AM - 12:00PM & 1:00PM - 5:00PM (their location directory). Their home page says Monday - Friday, the same times.",walk_in,"Wayne Metro’s own two pages disagree about the walk-in days. Call (313) 388-9799 before you go, especially on a Friday.",active,2026-09-20,web,seed_list,Wayne Metropolitan Community Action Agency website,https://www.waynemetro.org/location-directory/,"[2026-09-20] source page could not be read (HTTP 403); check by eye. [2026-09-20] Hours moved out of a schedule and shown as written, and the row made call-first: Wayne Metro's location directory says walk-ins Monday-Thursday 8:30AM-12:00PM & 1:00PM-5:00PM while its home page says Monday-Friday with the same blocks. Both re-read today; a contradiction between an owner's own pages is not published as fact. A call to (313) 388-9799 is owed (CHECKS-2026-09-20 section 3, item 1). Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.7."
sal_wayne_metro_walkin_dresner,svc_wayne_metro_walkin,org_wayne_metro,Wayne Metropolitan Community Action Agency,Walk-in help with applications,Dresner Community Center,utilities,"Walk in for help applying for water, energy, or rent help.",,3700 Gilbert St,Detroit,48210,42.327723,-83.119511,(313) 388-9799,Wayne Metro Connect Center,,,,https://www.waynemetro.org,call_first,"Monday - Thursday: 8:30AM - 12:00PM & 1:00PM - 5:00PM (their location directory). Their home page says Monday - Friday, the same times.",walk_in,"Wayne Metro’s own two pages disagree about the walk-in days. Call (313) 388-9799 before you go, especially on a Friday.",active,2026-09-20,web,seed_list,Wayne Metropolitan Community Action Agency website,https://www.waynemetro.org/location-directory/,"[2026-09-20] source page could not be read (HTTP 403); check by eye. [2026-09-20] Hours moved out of a schedule and shown as written, and the row made call-first: Wayne Metro's location directory says walk-ins Monday-Thursday 8:30AM-12:00PM & 1:00PM-5:00PM while its home page says Monday-Friday with the same blocks. Both re-read today; a contradiction between an owner's own pages is not published as fact. A call to (313) 388-9799 is owed (CHECKS-2026-09-20 section 3, item 1). Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.7."
sal_wayne_metro_walkin_west,svc_wayne_metro_appointment,org_wayne_metro,Wayne Metropolitan Community Action Agency,"Help with applications, by appointment",Wayne Metro West Client Service Center,utilities,"Book an appointment for help applying for water, energy, or rent help.",,18100 Meyers Rd,Detroit,48235,42.422235,-83.170288,(313) 388-9799,Wayne Metro Connect Center,,,,https://www.waynemetro.org,call_first,,appointment_required,Appointment only. Call (313) 388-9799 to book. The centre is inside the Northwest Activities Center.,active,2026-09-20,web,seed_list,Wayne Metropolitan Community Action Agency website,https://www.waynemetro.org/location-directory/,"[2026-09-20] source page could not be read (HTTP 403); check by eye. [2026-09-20] Dropped the Monday-Thursday walk-in schedule and the walk_in flag. Wayne Metro's own location directory, re-read today, lists this centre under ""ACCESS WAYNE METRO AT ADDITIONAL LOCATIONS ... *appointment only"", not under the walk-in heading; the address matches. Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.6."
sal_wayne_metro_walkin_east,svc_wayne_metro_appointment,org_wayne_metro,Wayne Metropolitan Community Action Agency,"Help with applications, by appointment",Wayne Metro East Client Service Center,utilities,"Book an appointment for help applying for water, energy, or rent help.",,5555 Conner St,Detroit,48213,42.391255,-82.980562,(313) 388-9799,Wayne Metro Connect Center,,,,https://www.waynemetro.org,call_first,,appointment_required,Appointment only. Call (313) 388-9799 to book. The centre is inside the Ford Wellness Center at the Samaritan Center.,active,2026-09-20,web,seed_list,Wayne Metropolitan Community Action Agency website,https://www.waynemetro.org/location-directory/,"[2026-09-20] source page could not be read (HTTP 403); check by eye. [2026-09-20] Dropped the Monday-Thursday walk-in schedule and the walk_in flag. Wayne Metro's own location directory, re-read today, lists this centre under ""ACCESS WAYNE METRO AT ADDITIONAL LOCATIONS ... *appointment only"", not under the walk-in heading; the address matches. Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.6."
sal_dwsd_lifeline,,org_dwsd,Detroit Water and Sewerage Department,Lifeline H2O plan,,utilities,"A lower water bill based on what your household earns, as low as $34 a month.","Households earning at or below 200% of the federal poverty level, with a DWSD account and a working meter in the home. Owing money on your bill does not stop you.",,,,,,(313) 267-8000,,,,,https://lifeline.detroitmi.gov,call_first,,,"Enrollment is full right now. The City’s own page said so on 2026-09-20. You can ask to be told when it opens again at lifeline.detroitmi.gov. If you are already on the plan, your lower bill runs to 30 June 2027 as long as you keep up with it.",active,2026-09-20,web,seed_list,Detroit Water and Sewerage Department website,https://detroitmi.gov/departments/water-and-sewerage-department/dwsd-customer-service/dwsd-here-help-water-assistance-programs/lifeline-plan,"[2026-09-20] source page could not be read (bot protection); check by eye. [2026-09-20] Added the enrollment-is-full notice and the eligibility the page states. The DWSD page's top banner, read 2026-09-20: ""Enrollment for Lifeline H2O is currently full. To receive an update when the program is accepting new applications, please complete the form at lifeline.detroitmi.gov."" Customers enrolled as of June 2026 keep benefits through 30 June 2027 if they stay current; the bill is ""as low as $34 per month""; since February 2026 a past-due balance no longer disqualifies anyone. The phone (313) 267-8000 and the absence of an address are both right. detroitmi.gov still answers scripts with 403 today, so this rests on the browser read of 2026-09-20. Approved by Kyle 2026-09-20; CHECKS-2026-09-20 1.2."
sal_dte_shutoff_protection,,org_dte,DTE Energy,Shutoff protection plans,,utilities,"Plans that can stop a shutoff for low-income households, seniors, people with medical needs, and active military.",,,,,,,(800) 477-4747,,,,,https://www.dteenergy.com,call_first,,,,active,2026-09-18,auto_check,seed_list,DTE Energy website,https://www.dteenergy.com/us/en/residential/billing-and-payments/energy-assistance/general-assistance.html,
sal_chass_southwest,,org_chass,CHASS Center,Doctor visits and pharmacy,CHASS Southwest Center,health.clinic,Doctor visits and a pharmacy in Southwest Detroit.,,5635 W Fort St,Detroit,48209,42.309544,-83.096371,313-849-3920,,,,,https://www.chasscenter.org,scheduled,,spanish,,active,2026-09-18,auto_check,seed_list,CHASS Center website,https://www.chasscenter.org/contact,
sal_covenant_care_michigan_ave,svc_covenant_community_care_clinic,org_covenant_community_care,Covenant Community Care,"Medical, dental, and counseling","Covenant Community Care, Michigan Ave",health.clinic,"Medical, dental, and counseling care. You pay based on your income.",,5716 Michigan Ave,Detroit,48210,42.331214,-83.113248,(313) 554-1095,Medical and counseling,(313) 554-3880,Dental,,https://covenantcommunitycare.org,scheduled,,sliding_fee,,active,2026-09-19,auto_check,seed_list,Covenant Community Care website,https://covenantcommunitycare.org/locations/michigan-avenue/,
sal_covenant_care_joy_rd,svc_covenant_community_care_clinic,org_covenant_community_care,Covenant Community Care,"Medical, dental, and counseling","Covenant Community Care, Joy Road",health.clinic,"Medical, dental, and counseling care. You pay based on your income.",,17625 Joy Rd,Detroit,48228,42.357825,-83.214997,(313) 446-8800,,,,,https://covenantcommunitycare.org,scheduled,,sliding_fee,,active,2026-09-18,auto_check,seed_list,Covenant Community Care website,https://covenantcommunitycare.org/locations/joy-road/,
sal_dwihn_care_center,,org_dwihn,Detroit Wayne Integrated Health Network,Crisis care center,DWIHN Care Center,health.mental,"Walk in any time for help in a mental health crisis. Adults and children. No appointment, insurance, or ID needed.",,707 W Milwaukee Ave,Detroit,48202,42.367305,-83.077212,(313) 989-9444,,,,,https://dwihn.org,always,,"walk_in,no_id_required",,active,2026-09-18,auto_check,seed_list,Detroit Wayne Integrated Health Network website,https://dwihn.org/programs-services/crisis-services,
sal_dwihn_crisis_line,,org_dwihn,Detroit Wayne Integrated Health Network,24-hour crisis line,,health.mental,Call any time to talk to a real person about a mental health crisis.,,,,,,,1-800-241-4949,24-hour crisis line,1-844-462-7474,"Mobile crisis team (comes to you), 24 hours",,https://dwihn.org,always,,,,active,2026-09-19,auto_check,seed_list,Detroit Wayne Integrated Health Network website,https://dwihn.org/crisis-help,
sal_first_step_helpline,,org_first_step,First Step,24-hour helpline,,shelter.dv,Call any time for help with domestic or sexual violence.,,,,,,,(734) 722-6800,,,,,https://www.firststep-mi.org,always,,,,active,2026-09-18,auto_check,seed_list,First Step website,https://www.firststep-mi.org/,
